DATE DE CLASSEMENT;TYPOLOGIE ÉTABLISSEMENT;CLASSEMENT;CATÉGORIE;MENTION (villages de vacances);NOM COMMERCIAL;ADRESSE;CODE POSTAL;COMMUNE;SITE INTERNET;TYPE DE SÉJOUR;CAPACITÉ D'ACCUEIL (PERSONNES);NOMBRE DE CHAMBRES;NOMBRE D'EMPLACEMENTS;NOMBRE D'UNITES D'HABITATION (résidences de tourisme);NOMBRE DE LOGEMENTS (villages de vacances)
18/10/2018;HÔTEL DE TOURISME;4 étoiles;-;-;1872 STADIUM HÔTEL;Boulevard de Leningrad;76600;LE HAVRE;https://www.1872stadiumhotel.com/fr/;-;40;20;-;-;-
26/09/2019;HÔTEL DE TOURISME;2 étoiles;-;-;3B HÔTEL DE BORDEAUX;66 avenue de la Libération;33440;AMBARÈS-ET-LAGRAVE;https://www.hotel-restaurant-gironde.fr/;-;26;14;-;-;-
12/06/2017;HÔTEL DE TOURISME;4 étoiles;-;-;5 TERRES HÔTEL & SPA MGALLERY BY SOFITEL;11 Place de l'Hôtel de ville;67140;BARR;https://5terres-hotel.fr/fr/;-;56;27;-;-;-
22/09/2017;HÔTEL DE TOURISME;4 étoiles;-;-;7HÔTEL&SPA;550 Boulevard Sébastien Brandt;67400;ILLKIRCH-GRAFFENSTADEN;https://7hotel.fr/;-;312;139;-;-;-
29/11/2019;HÔTEL DE TOURISME;3 étoiles;-;-;9 HÔTEL BASTILLE LYON;23 rue de lyon;75012;PARIS;https://www.9-hotel-bastille-lyon.fr;-;90;48;-;-;-
27/09/2019;HÔTEL DE TOURISME;3 étoiles;-;-;9 HÔTEL MONTPARNASSE;76 rue Raymond Losserand;75014;PARIS 14E ARRONDISSEMENT;https://www.9-hotel-montparnasse-paris.fr/fr/;-;86;43;-;-;-
13/07/2016;HÔTEL DE TOURISME;3 étoiles;-;-;9HÔTEL OPÉRA;14 rue Papillon;75009;PARIS;http://www.le9hotel.com/fr/h/9-hotel-opera;-;91;48;-;-;-
21/12/2015;HÔTEL DE TOURISME;4 étoiles;-;-;9HÔTEL RÉPUBLIQUE;7/9 Rue Pierre Chausson;75010;PARIS;http://www.le9hotel.com/fr/h/9-hotel-republique;-;92;48;-;-;-
31/10/2017;HÔTEL DE TOURISME;4 étoiles;-;-;ABBAYE DE SAINTE CROIX;route du Val de Cuech;13300;SALON-DE-PROVENCE;http://www.abbaye-de-saintecroix.fr/;-;61;25;-;-;-
07/06/2017;HÔTEL DE TOURISME;4 étoiles;-;-;ABBAYE DE TALLOIRES;chemin des Moines;74290;TALLOIRES;www.abbaye-talloires.com;-;76;33;-;-;-
05/07/2017;HÔTEL DE TOURISME;4 étoiles;-;-;ABBAYE DES CAPUCINS;6/8 quai de Verdun;82000;MONTAUBAN;http://abbayedescapucins.fr;-;203;85;-;-;-
19/03/2018;HÔTEL DE TOURISME;2 étoiles;-;-;ABBYS HÔTEL;Lieu-dit Vialard;24200;CARSAC-AILLAC;http://abbys-hotel.com/;-;72;32;-;-;-
23/02/2016;HÔTEL DE TOURISME;4 étoiles;-;-;AC HÔTEL AMBASSADEUR ANTIBES JUAN-LES-PINS;50 Chemin des sables;06160;JUAN LES PINS;https://www.marriott.fr/hotels/travel/jlpar-ac-hotel-ambassadeur-antibes-juan-les-pins/;-;1400;221;-;-;-
26/09/2019;HÔTEL DE TOURISME;4 étoiles;-;-;AC HÔTEL PARIS PORTE MAILLOT;6 rue Gustave Charpentier;75017;PARIS;https://www.marriott.fr/hotels/travel/parar-ac-hotel-paris-porte-maillot/;-;328;164;-;-;-
05/04/2017;HÔTEL DE TOURISME;2 étoiles;-;-;ACANTHE HÔTEL;12 RUE SAINT RÉMI;33000;BORDEAUX;http://www.acanthe-hotel-bordeaux.com;-;44;20;-;-;-
27/07/2017;HÔTEL DE TOURISME;2 étoiles;-;-;ACCOSTAGE HÔTEL;6 Avenue Coligny;17000;LA ROCHELLE;http://www.accostage-hotel.fr;-;32;15;-;-;-
30/01/2017;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL ANGERS;RUE DU PAON;49124;SAINT-BARTHÉLEMY-D'ANJOU;www.ace-hotel-angers.com;-;160;60;-;-;-
04/07/2018;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL ANNECY;8 BOULEVARD DU SEMNOZ;74600;SEYNOD;www.ace-hotel-annecy.com;-;173;73;-;-;-
10/10/2018;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL ANNEMASSE GENEVE;RUE DES BICHES;74100;VILLE-LA-GRAND;https://www.ace-hotel.com/fr/ace-hotel-annemasse-geneve;-;181;64;-;-;-
21/06/2019;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL BEAURAINS;11 avenue des coquelicots;62217;BEAURAINS;https://www.ace-hotel-arras.com;-;162;60;-;-;-
04/07/2018;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL BORDEAUX CESTAS;A63  AIRE DE BORDEAUX CESTAS;33610;CESTAS;https://www.ace-hotel.com/fr/ace-hotel-bordeaux-cestas;-;197;70;-;-;-
12/12/2017;HÔTEL DE TOURISME;2 étoiles;-;-;ACE HÔTEL BOURGES;ZAC de l'échangeur;18000;BOURGES;https://www.ace-hotel-bourges.com/;-;168;64;-;-;-
02/08/2016;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL CAEN MÉMORIAL;7 rue René Cassin;14280;SAINT-CONTEST;http://www.ace-hotel-caen.fr/;-;153;61;-;-;-
30/10/2017;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL CHARTRES;RUE DE LA MALADRERIE;28630;LE COUDRAY;www.ace-hotel-chartres.com;-;174;64;-;-;-
27/02/2019;HÔTEL DE TOURISME;2 étoiles;-;-;ACE HÔTEL CHATEAUROUX DÉOLS;ZAC DE L'ECOPARC DE GRANDEOLS;36130;DÉOLS;https://www.ace-hotel.com/fr/ace-hotel-chateauroux;-;158;60;-;-;-
23/01/2019;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL CLERMONT LA PARDIEU;Rue de l'Eminée;63100;CLERMONT-FERRAND;www.ace-hotel-clermont-pardieu.com;-;139;55;-;-;-
29/03/2016;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL CREUTZWALD SAINT-AVOLD;80 A rue de Longeville;57150;CREUTZWALD;http://www.ace-hotel-creutzwald-saintavold.fr/;-;122;61;-;-;-
19/10/2017;HÔTEL DE TOURISME;2 étoiles;-;-;ACE HÔTEL ISSOIRE;RUE DU DOCTEUR BIENFAIT;63500;ISSOIRE;https://www.ace-hotel-issoire.fr/;-;136;54;-;-;-
10/07/2018;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL LE MANS NORD;2 rue Louis Chappée;72650;SAINT-SATURNIN;https://www.ace-hotel-lemans.com//;-;172;63;-;-;-
23/01/2019;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL MONTLUCON;RUE ANDRE CITROEN ZONE DE LA LOUE;03410;SAINT-VICTOR;https://www.ace-hotel-montlucon.com;-;154;54;-;-;-
21/06/2019;HÔTEL DE TOURISME;2 étoiles;-;-;ACE HÔTEL NOYELLES GODAULT LILLE;rue de Beaumont;62950;NOYELLES-GODAULT;https://www.ace-hotel-noyelles.com;-;142;55;-;-;-
02/10/2017;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL PARIS MARNE LA VALLÉE;3 Boulevard des Artisans;77700;BAILLY-ROMAINVILLIERS;https://www.ace-hotel-bailly-romainvilliers.fr/;-;198;76;-;-;-
23/12/2016;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL PARIS ROISSY;6 rue Galilée;77290;MITRY-MORY;www.ace-hotel-mitry.fr;-;188;80;-;-;-
21/07/2020;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL PARIS SUD VILLABE;1 route de Villoison;91100;VILLABÉ;www.ace-hotel-villabe.com;-;213;76;-;-;-
10/01/2018;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL POITIERS;rue de la maison Coupée;86000;POITIERS;https://www.ace-hotel.com/fr/ace-hotel-poitiers;-;181;60;-;-;-
07/04/2016;HÔTEL DE TOURISME;2 étoiles;-;-;ACE HÔTEL RIOM;RUE LOUIS AMSTRONG;63200;RIOM;www.ace-hotel-riom.com;-;140;56;-;-;-
26/09/2018;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL ROANNE;1 rue Edouard Branly;42300;MABLY;https://www.ace-hotel-roanne.fr/;-;176;64;-;-;-
21/01/2019;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL SALON DE PROVENCE;161 CHEMIN DES ENTRAGES;13300;SALON-DE-PROVENCE;www.ace-hotel.com/fr/ace-hotel-salon-de-provence;-;145;55;-;-;-
02/10/2019;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL TOULOUSE BLAGNAC;35 bis route de Toulouse;31700;CORNEBARRIEU;https://www.ace-hotel-toulouse.com;-;172;65;-;-;-
04/01/2017;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL TROYES;LE BAS DES FOURCHES AUX MOINES;10120;SAINT-ANDRÉ-LES-VERGERS;www.ace-hotel-troyes.com;-;143;57;-;-;-
20/12/2017;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL VALENCE;47 avenue des Auréats;26000;VALENCE;https://www.ace-hotel-valence.fr/;-;163;58;-;-;-
04/03/2020;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL VENDÉE SAINTE HERMINE;Parc Vendée Atlantique;85210;SAINTE-HERMINE;https://www.ace-hotel-vendee.com/;-;117;49;-;-;-
27/02/2018;HÔTEL DE TOURISME;2 étoiles;-;-;ACE MÔTEL ATHÉE SUR CHER;AUTOROUTE A85;37270;ATHÉE-SUR-CHER;https://www.ace-hotel.com/fr/ace-motel-athee-sur-cher;-;80;30;-;-;-
02/08/2017;HÔTEL DE TOURISME;3 étoiles;-;-;ACROPOLE HÔTEL;10 rue grande malouve;27300;BERNAY;http://hotel-acropole.com;-;116;51;-;-;-
22/01/2016;HÔTEL DE TOURISME;3 étoiles;-;-;ACROPOLIS HÔTEL PARIS BOULOGNE;63 Rue Thiers;92100;BOULOGNE-BILLANCOURT;www.acropolishotel.fr;-;60;30;-;-;-
08/03/2019;HÔTEL DE TOURISME;2 étoiles;-;-;ADAMS HÔTEL;3 Rue Pierre Boileau;57050;METZ;https://www.adams-hotel-metz.fr/;-;115;54;-;-;-
27/11/2017;HÔTEL DE TOURISME;2 étoiles;-;-;AGATHE'HÔTEL;17 rue font de cherves;17200;ROYAN;http://www.hotel-centre-royan.fr/;-;19;9;-;-;-
02/04/2015;HÔTEL DE TOURISME;2 étoiles;-;-;AGUDES HÔTEL;Station de Peyragudes;31110;GOUAUX-DE-LARBOUST;http://hotel-peyragudes.com/;-;60;25;-;-;-
11/05/2015;HÔTEL DE TOURISME;2 étoiles;-;-;AIR HÔTEL;Centre Commercial De L'Oasis;70000;PUSEY;www.airhotel70.com;-;80;37;-;-;-
07/09/2017;CAMPING;Aire naturelle;-;-;AIRE NATURELLE CAMPING LA CLAIRIÈRE;La Clairière;09000;L'HERM;www.campinglaclairiere.fr;-;80;-;20;-;-
28/08/2017;CAMPING;Aire naturelle;-;-;AIRE NATURELLE CAMPING LA LOIRE FLEURIE;60 chemin de la Jalonnière;85300;LE PERRIER;www.camping-laloirefleurie.com;-;96;-;24;-;-
05/08/2016;CAMPING;Aire naturelle;-;-;AIRE NATURELLE CAMPING À LA FERME OSPITALIA;maison ospitalia;64640;HÉLETTE;-;-;100;-;22;-;-
26/09/2016;CAMPING;Aire naturelle;-;-;AIRE NATURELLE DE CAMPING CAZENAVE DOUX;19 rue Houndaa;64260;CASTET;http://cazenave-doux.haut-bearn.fr/;-;70;-;17;-;-
28/08/2017;CAMPING;Aire naturelle;-;-;AIRE NATURELLE DE CAMPING DIRIART;Départementale 22;64780;SUHESCUN;campingalafermepaysbasque.com;-;100;-;25;-;-
21/12/2016;CAMPING;Aire naturelle;-;-;AIRE NATURELLE DE CAMPING FERME LANDRAN;Route de Lambarre;64130;ORDIARP;www.ferme-landran-location.com;-;100;-;25;-;-
30/06/2017;CAMPING;Aire naturelle;-;-;AIRE NATURELLE DE CAMPING LA TEOULEYRE;468 chemin de Jean de Paul;40170;SAINT-JULIEN-EN-BORN;www.lateouleyre.com;-;120;-;30;-;-
25/11/2016;CAMPING;Aire naturelle;-;-;AIRE NATURELLE DE CAMPING LE HAOUD' ICI;8 RUE ROBERT DUBAA;40140;MAGESCQ;camping-haoudici.com;-;60;-;15;-;-
05/06/2015;CAMPING;Aire naturelle;-;-;AIRE NATURELLE DE CAMPING LE MOULIN;quartier le moulin;26340;PRADELLE;www.relaislemoulin.com/;-;45;-;15;-;-
02/10/2020;CAMPING;Aire naturelle;-;-;AIRE NATURELLE DE CAMPING LES RIVES DU LAC;La ferme de Rieumontagné;81320;NAGES;www.lesrivesdulac.com;-;40;-;10;-;-
11/10/2016;CAMPING;Aire naturelle;-;-;AIRE NATURELLE DE CAMPING SAINT-VAURY;La Valette;23320;SAINT-VAURY;-;-;100;-;14;-;-
17/06/2016;CAMPING;Aire naturelle;-;-;AIRE NATURELLE DE FRANC;226 chemin de Franc;40660;MOLIETS-ET-MAA;camping-de-franc.fr;-;100;-;30;-;-
29/08/2018;CAMPING;Aire naturelle;-;-;AIRE NATURELLE DE POUYLEBON;Lieu dit Haouré;32320;POULEBON;https://www.campingpouylebon.com/;-;100;-;25;-;-
17/10/2017;CAMPING;Aire naturelle;-;-;AIRE NATURELLE DE SORE;339 rue Broustra;40430;SORE;https://www.sore.fr/Vie-pratique/Hebergements/Aire-naturelle-de-camping-2-epis;-;64;-;16;-;-
01/10/2015;CAMPING;Aire naturelle;-;-;AIRE NATURELLE DU FORT SAMSON;25 rue du Fort Samson;14450;GRANDCAMP-MAISY;-;-;100;-;27;-;-
24/06/2019;CAMPING;Aire naturelle;-;-;AIRE NATURELLE FERME DE LA BORDE;La Borde;12390;BOURNAZEL;http://fermelaborde12.fr/;-;45;-;20;-;-
28/06/2016;CAMPING;Aire naturelle;-;-;AIRE NATURELLE HOUN DE L'OR;440 Route de Saubion;40150;ANGRESSE;-;-;32;-;8;-;-
10/05/2016;CAMPING;Aire naturelle;-;-;AIRE NATURELLE KERALUIC;Lieu-dit Keraluic;29120;PLOMEUR;http://www.keraluic.fr/fr/camping.htm;-;100;-;24;-;-
29/03/2017;CAMPING;Aire naturelle;-;-;AIRE NATURELLE LAFARGUE DUPORT;1674 chemin de Mayotte;40600;BISCARROSSE;http://aire-naturelle-lafargue.fr/;-;68;-;17;-;-
03/08/2016;CAMPING;Aire naturelle;-;-;AIRE NATURELLE LAOUBA;2 chemin laouba;33930;VENDAYS-MONTALIVET;www.vacancesmontalivet.com;-;130;-;28;-;-
24/05/2016;CAMPING;Aire naturelle;-;-;AIRE NATURELLE LE CLOS VERT;Village de l'Église;50190;SAINT-MARTIN-D'AUBIGNY;-;-;50;-;9;-;-
07/06/2018;CAMPING;Aire naturelle;-;-;AIRE NATURELLE LE FREZAT;2583 chemin de Mayotte;40600;BISCARROSSE;www.lefrezat.fr;-;100;-;25;-;-
12/10/2017;CAMPING;Aire naturelle;-;-;AIRE NATURELLE LE MAS DE ROME;Lieu-dit Le Mas De Rome;30630;GOURDARGUES;-;-;125;-;25;-;-
12/07/2016;CAMPING;Aire naturelle;-;-;AIRE NATURELLE LE TOY;1284 route des carroués;40990;HERM;http://www.camping-du-toy.com/fr/;-;100;-;30;-;-
22/05/2019;CAMPING;Aire naturelle;-;-;AIRE NATURELLE LES BRUYÈRES;3725 route de Bordeaux;40600;BISCARROSSE;-;-;100;-;25;-;-
19/10/2018;CAMPING;Aire naturelle;-;-;AIRE NATURELLE LES CERISIERS;987 route de Pelussin;42520;MACLAS;www.camping-maclas.fr;-;80;-;20;-;-
23/06/2017;CAMPING;Aire naturelle;-;-;AIRE NATURELLE LES FRAMBOISIERS;Le Villard;73340;BELLECOMBE-EN-BAUGES;www.camping-les-framboisiers.com;-;96;-;24;-;-
29/08/2016;CAMPING;Aire naturelle;-;-;AIRE NATURELLE OCÉ'ÂNE;Kérael Lanveoc;29160;CROZON;www.oceane-crozon.net;-;44;-;11;-;-
26/09/2016;CAMPING;Aire naturelle;-;-;AIRE NATURELLE VALENTHÈZE;Lieu-dit Lagrave;46700;MONTCABRIER;www.valentheze.fr;-;100;-;25;-;-
29/11/2017;HÔTEL DE TOURISME;2 étoiles;-;-;AIX HÔTEL;115 rue charles duchesne;13080;AIX-EN-PROVENCE;http://www.aixhotel.fr/;-;96;39;-;-;-
09/07/2017;HÔTEL DE TOURISME;2 étoiles;-;-;ALB'HÔTEL;369 Route des Asnières;74540;ALBY-SUR-CHÉRAN;https://www.albhotel.fr/;-;92;38;-;-;-
08/04/2019;HÔTEL DE TOURISME;3 étoiles;-;-;ALBA OPÉRA HÔTEL;34 ter rue de la Tour d'Auvergne;75009;PARIS;www.albaoperahotel.com;-;47;24;-;-;-
06/01/2020;HÔTEL DE TOURISME;3 étoiles;-;-;ALEX HOTEL;13-15 Place des Marseillaises;13001;MARSEILLE;http://www.alex-hotel.fr/;-;45;21;-;-;-
29/05/2017;HÔTEL DE TOURISME;3 étoiles;-;-;ALEXANDRE NICOLET;22 rue de l'arrivée;75015;PARIS;https://www.timhotel.com/fr/timhotel-paris-gare-montparnasse-3_9;-;151;77;-;-;-
21/12/2015;HÔTEL DE TOURISME;3 étoiles;-;-;ALEXANDRE NICOLET;8 rue d'Odessa;75014;PARIS;http://www.timhotel.com/fr/nos-hotels-details/19-timhotel-odessa-montparnasse-ex-gaite-montparnasse-4.htm;-;110;55;-;-;-
21/01/2016;HÔTEL DE TOURISME;3 étoiles;-;-;ALEXANDRE NICOLET;11 bis rue de la Gaité;75014;PARIS;http://www.timhotel.com/fr/nos-hotels-details/25-timhotel-tour-montparnasse-4.htm;-;99;48;-;-;-
07/09/2017;HÔTEL DE TOURISME;3 étoiles;-;-;ALEZAN HÔTEL;2 Allée Antoine Osete;31000;TOULOUSE;http://alezan-toulouse.com/files/;-;128;64;-;-;-
08/03/2019;HÔTEL DE TOURISME;1 étoile;-;-;ALFA HÔTEL PARIS NATION;12 Rue Guénot;75011;PARIS;https://www.alfahotel.fr/;-;60;28;-;-;-
03/12/2015;HÔTEL DE TOURISME;2 étoiles;-;-;ALIVE HÔTEL DE QUÉBEC;18-24 rue de Québec;76000;ROUEN;https://www.hotel-rouen.com;-;72;35;-;-;-
23/11/2015;HÔTEL DE TOURISME;3 étoiles;-;-;ALLOBROGES PARK HÔTEL;11 Rue Sommeiller;74000;ANNECY;https://www.allobroges.com/;-;100;49;-;-;-
11/05/2015;HÔTEL DE TOURISME;5 étoiles;-;-;ALPES HOTEL DU PRALONG;Route de l'Altiport;73120;COURCHEVEL;www.pralongcourchevel.com;-;130;65;-;-;-
07/07/2017;HÔTEL DE TOURISME;3 étoiles;-;-;ALS HÔTEL;Carrefour de la Vierge;68490;OTTMARSHEIM;http://www.alshotel.com;-;88;40;-;-;-
22/10/2018;CAMPING;3 étoiles;LOISIRS;-;ALSACE CAMPING;14 rue Heiligenberg Gare;67190;GRESSWILLER;http://www.alsacecamping.net/;-;280;-;70;-;-
25/11/2015;HÔTEL DE TOURISME;3 étoiles;-;-;ALTI HÔTEL;19 allées d'ÉTIGNY;31110;BAGNÈRES-DE-LUCHON;http://actaluchon.com/;-;120;47;-;-;-
12/06/2017;HÔTEL DE TOURISME;4 étoiles;-;-;ALYSSON HÔTEL;24 boulevard des pyrénées;64400;OLORON-SAINTE-MARIE;http://www.alysson-hotel.fr/;-;105;49;-;-;-
21/11/2019;HÔTEL DE TOURISME;3 étoiles;-;-;AMA HÔTEL;8 Rue de la Maison Suisse;64200;BIARRITZ;http://www.hotel-alcyon-biarritz.com;-;30;15;-;-;-
07/07/2017;HÔTEL DE TOURISME;2 étoiles;-;-;AMADOUR HÔTEL;L'HOSPITALET;46500;ROCAMADOUR;http://www.amadour-hotel.com;-;39;15;-;-;-
17/04/2019;HÔTEL DE TOURISME;5 étoiles;-;-;AMAN LE MÉLÉZIN;310 rue de Bellecôte;73120;COURCHEVEL;https://www.aman.com/resorts/aman-le-melezin;-;66;31;-;-;-
30/06/2017;HÔTEL DE TOURISME;3 étoiles;-;-;AMIRAUTÉ HÔTEL;route de Paris;14800;TOUQUES;www.amiraute.com;-;488;210;-;-;-
25/07/2017;HÔTEL DE TOURISME;3 étoiles;-;-;ANCOR HÔTEL;61 rue centrale;74940;ANNECY-LE-VIEUX;https://www.ancorhotel.com/;-;121;58;-;-;-
13/02/2018;HÔTEL DE TOURISME;3 étoiles;-;-;ANIS HÔTEL;50  Avenue de la Lanterne;06200;NICE;www.hotel-anis.com;-;95;42;-;-;-
22/02/2019;HÔTEL DE TOURISME;3 étoiles;-;-;APPART' HÔTEL DES CAPUCINS;29 rue des Capucins;43000;LE PUY-EN-VELAY;http://www.lescapucins.net;-;52;26;-;-;-
19/09/2019;HÔTEL DE TOURISME;3 étoiles;-;-;APPART'HÔTEL ATAO;6 rue de la Blanche Hermine;35770;VERN-SUR-SEICHE;https://www.atao-apparthotel.com/;-;78;38;-;-;-
30/08/2016;HÔTEL DE TOURISME;3 étoiles;-;-;APPARTHÔTEL LA GIRAFE MARSEILLE EST;25-43 Boulevard de la gare;13821;LA PENNE-SUR-HUVEAUNE;http://hotel-lagirafe.com/;-;42;18;-;-;-
22/01/2019;HÔTEL DE TOURISME;2 étoiles;-;-;APPARTHÔTEL LES TILLEULS;16 allée des Tilleuls;33490;SAINT-MACAIRE;www.tilleul-medieval.com;-;20;10;-;-;-
03/04/2017;HÔTEL DE TOURISME;2 étoiles;-;-;APPIA HÔTEL;6 rue Marceau;06400;CANNES;www.appia-hotel.com;-;59;32;-;-;-
28/09/2017;HÔTEL DE TOURISME;2 étoiles;-;-;AQUITAIN HÔTEL;47 Rue Eugène Le Roy;33800;BORDEAUX;www.aquitain-hotel.com;-;40;17;-;-;-
24/07/2017;HÔTEL DE TOURISME;3 étoiles;-;-;ARA HÔTEL;PIace de Mescoat;29800;LANDERNEAU;http://www.arahotel.fr;-;82;41;-;-;-
22/01/2018;HÔTEL DE TOURISME;2 étoiles;-;-;ARC EN CIEL COLMAR;38 route de Sélestat;68000;COLMAR;http://www.arc-en-ciel-hotel-colmar.com;-;92;44;-;-;-
09/08/2018;HÔTEL DE TOURISME;3 étoiles;-;-;ARC HÔTEL AIX;40 avenue Henri Malacrida;13080;AIX-EN-PROVENCE;www.archotelaix.com;-;84;40;-;-;-
23/12/2016;HÔTEL DE TOURISME;3 étoiles;-;-;ARC HÔTEL SUR MER;89 boulevard de la Plage;33120;ARCACHON;http://www.arc-hotel-sur-mer.com;-;64;30;-;-;-
01/06/2016;HÔTEL DE TOURISME;3 étoiles;-;-;ARCHE HÔTEL;13 rue du 11 novembre 1918;18100;VIERZON;http://www.arche-hotel.fr;-;91;41;-;-;-
22/01/2019;HÔTEL DE TOURISME;2 étoiles;-;-;ARDENN'HÔTEL;6 rue Caqué;51100;REIMS;http://www.ardennhotel.fr/;-;29;14;-;-;-
26/09/2016;CAMPING;4 étoiles;TOURISME;-;ARDÈCHE CAMPING;Chemin du camping;07000;PRIVAS;http://www.ardechecamping.fr;-;664;-;166;-;-
03/07/2015;HÔTEL DE TOURISME;2 étoiles;-;-;AREV HÔTEL;29 place du gravier;15110;CHAUDES-AIGUES;http://www.casino-chaudesaigues.com/hotel/;-;39;19;-;-;-
12/12/2018;HÔTEL DE TOURISME;3 étoiles;-;-;ARMONY HÔTEL;Rue Saint Exupery;27310;BOURG-ACHARD;armony-hotel.fr;-;119;56;-;-;-
08/02/2017;HÔTEL DE TOURISME;3 étoiles;-;-;ARMORIC HÔTEL;3 rue de Penfoul;29950;BÉNODET;http://www.armoric-benodet.com;-;64;30;-;-;-
16/12/2020;HÔTEL DE TOURISME;3 étoiles;-;-;AROME HÔTEL NICE;65 rue de la Buffa;06000;NICE;http://www.aromehotelnice.com/;-;20;11;-;-;-
19/06/2018;HÔTEL DE TOURISME;4 étoiles;-;-;ART HÔTEL;19 quai de la Loire;37210;ROCHECORBON;www.art-hotel-tours.com;-;56;28;-;-;-
06/01/2017;HÔTEL DE TOURISME;3 étoiles;-;-;ART HÔTEL BATIGNOLLES;110 rue legendre;75017;PARIS;http://www.arthotelbatignolles.com;-;48;29;-;-;-
05/01/2017;HÔTEL DE TOURISME;3 étoiles;-;-;ART HÔTEL CONGRES;44 rue gauthey;75017;PARIS;http://www.arthotelcongres.com/;-;69;41;-;-;-
21/03/2019;HÔTEL DE TOURISME;3 étoiles;-;-;ART HÔTEL EIFFEL;136 boulevard de Grenelle;75015;PARIS;www.arthoteleiffel.com;-;66;36;-;-;-
21/03/2019;HÔTEL DE TOURISME;3 étoiles;-;-;ART HÔTEL LAFAYETTE;98 rue Hauteville;75010;PARIS;http://www.arthotellafayette.com/;-;47;26;-;-;-
12/12/2017;HÔTEL DE TOURISME;3 étoiles;-;-;ART HÔTEL TENDANCE;37 rue Armand Barbès;87100;LIMOGES;http://www.arthoteltendance.fr/;-;34;16;-;-;-
06/09/2017;HÔTEL DE TOURISME;2 étoiles;-;-;ARTEL HÔTEL;1 Avenue Pierre Latécoère;82100;CASTELSARRASIN;http://artel-hotel.fr;-;63;28;-;-;-
16/09/2020;HÔTEL DE TOURISME;3 étoiles;-;-;ARTEMIS HÔTEL;11 parc des conchettes;43100;BRIOUDE;https://www.artemis-hotel.com;-;80;40;-;-;-
10/05/2017;HÔTEL DE TOURISME;3 étoiles;-;-;AS HÔTEL ORLÉANS NORD ARTENAY;29 RUE DE CHARTRES;45410;ARTENAY;www.as-hotel.com;-;75;34;-;-;-
02/02/2017;HÔTEL DE TOURISME;2 étoiles;-;-;ATIPIK HÔTEL ALEXANDRA;19 Rue Vaugelas;74000;ANNECY;https://www.atipikhotel.fr/;-;48;25;-;-;-
23/02/2021;HÔTEL DE TOURISME;4 étoiles;-;-;ATLANTIC HÔTEL;5 promenade Georges Godet;85100;LES SABLES-D'OLONNE;https://www.atlantichotel.fr/;-;68;34;-;-;-
18/10/2017;HÔTEL DE TOURISME;3 étoiles;-;-;ATLANTIC HÔTEL;3 quai Carnot;85350;L'ÎLE-D'YEU;http://hotel-yeu.com;-;37;17;-;-;-
02/10/2020;HÔTEL DE TOURISME;3 étoiles;-;-;ATLANTIC HÔTEL;44 rue de Londres;75008;PARIS;https://atlantic-hotel-paris.com/;-;183;81;-;-;-
30/08/2018;HÔTEL DE TOURISME;3 étoiles;-;-;ATLANTIC HÔTEL;11 rue de la Sablière;17310;SAINT-PIERRE-D'OLÉRON;https://www.oleron-hotel.fr;-;54;19;-;-;-
30/10/2018;HÔTEL DE TOURISME;2 étoiles;-;-;ATLANTIC HÔTEL PAU;222 avenue Jean Mermoz;64000;PAU;https://atlantic-hotel64-pau.com/;-;38;24;-;-;-
10/05/2017;HÔTEL DE TOURISME;2 étoiles;-;-;ATLANTIC HÔTEL RENNES CENTRE GARE;31 boulevard de Beaumont;35000;RENNES;http://www.atlantic-hotelrennes.fr/;-;45;24;-;-;-
04/05/2017;HÔTEL DE TOURISME;3 étoiles;-;-;ATMOSPHÈRE HÔTEL;76 avenue de la Muzelle;38860;MONT-DE-LANS;http://www.atmosphere-hotel.fr/;-;84;28;-;-;-
05/02/2019;HÔTEL DE TOURISME;3 étoiles;-;-;ATN HÔTEL;21 rue d 'Athènes;75009;PARIS;http://www.atnhotel.fr;-;76;36;-;-;-
