DATE DE CLASSEMENT;TYPOLOGIE ÉTABLISSEMENT;CLASSEMENT;CATÉGORIE;MENTION (villages de vacances);NOM COMMERCIAL;ADRESSE;CODE POSTAL;COMMUNE;SITE INTERNET;TYPE DE SÉJOUR;CAPACITÉ D'ACCUEIL (PERSONNES);NOMBRE DE CHAMBRES;NOMBRE D'EMPLACEMENTS;NOMBRE D'UNITES D'HABITATION (résidences de tourisme);NOMBRE DE LOGEMENTS (villages de vacances)
02/08/2016;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE STRASBOURG CENTRE;25 rue Thomann;67000;STRASBOURG;http://www.accorhotels.com/fr/hotel-1106-hotel-mercure-strasbourg-centre-/index.shtml;-;196;98;-;-;-
15/02/2017;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MERCURE STRASBOURG CENTRE PETITE FRANCE;3 RUE DU MAIRE KUSS;67100;STRASBOURG;http://www.accorhotels.com/fr/hotel-1813-hotel-mercure-strasbourg-centre-petite-france/index.shtml;-;124;63;-;-;-
01/08/2016;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE STRASBOURG GARE CENTRALE;14-15 place de la gare;67000;STRASBOURG;http://www.accorhotels.com/fr/hotel-2149-hotel-mercure-strasbourg-centre-gare/index.shtml;-;146;68;-;-;-
31/03/2016;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE STRASBOURG PALAIS DES CONGRÈS;20 place de bordeaux;67000;STRASBOURG;http://www.mercure.com/8818;-;348;174;-;-;-
10/07/2017;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE THALASSA PORT FRÉJUS;16 Quai Dei Caravello;83600;FRÉJUS;https://www.accorhotels.com/fr/hotel-6752-hotel-mercure-thalassa-port-frejus/index.shtml;-;248;117;-;-;-
09/07/2017;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE THIONVILLE CENTRE;2 RUE GEORGES DITSCH;57100;THIONVILLE;https://www.accorhotels.com/fr/hotel-7239-hotel-mercure-thionville-centre/index.shtml;-;108;53;-;-;-
23/10/2016;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE TOULOUSE CENTRE SAINT-GEORGES;rue Saint-Jérôme;31300;TOULOUSE;https://all.accor.com/hotel/0370/index.fr.shtml;-;370;148;-;-;-
19/09/2016;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE TOULOUSE COMPANS CAFFARELLI;Boulevard Lascrosses;31000;TOULOUSE;http://www.mercure-toulouse-compans-caffarelli.com;-;295;136;-;-;-
27/02/2018;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE TOULOUSE GOLF DE SEILH;Route de Grenade;31840;SEILH;https://www.accorhotels.com/fr/hotel-8244-hotel-mercure-toulouse-aeroport-golf-de-seilh/index.shtml;-;249;116;-;-;-
23/10/2016;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE TOULOUSE WILSON;7 rue Labeda;31000;TOULOUSE;http://www.mercure-toulouse-wilson.com;-;208;95;-;-;-
